"GRB","log10Epeak"
"181010A",3.30724240434778
"181020A",NA
"181110A",NA
"181201A",NA
"190106A",1.7593723030581
"190114A",3.09483867340269
"190719C",2.29813808466581
"190829A",0.769873954668796
"191011A",1.4424458394626
"191221B",NA
"200205B",2.15077672692375
"200613A",NA
"200829A",2.39747447351348
"201015A",NA
"201020A",2.06096271696164
"201021C",2.15483859179801
"201104B",NA
"201221A",NA
"210210A",2.09674884248129
"210222B",NA
"210411C",NA
"210517A",NA
"210610A",2.0508279735807
"210610B",2.0508279735807
"210619B",2.96310501895225
"210722A",2.10845119254429
"210731A",2.24376427639323
"210822A",NA
"211024B",2.462615075903
"220101A",2.38581770387727
"220117A",1.91946068375233
"220521A",1.69503873299116
"220611A",NA
"230116D",2.31961855755887
"230325A",NA
"230414B",2.50136243640238
"230506C",3.18176363611475
"230818A",2.33256842581545
"231210B",1.66959687767923
"970508A",NA
