GRB     		idGRB   	             Author_LC     Author_spectrum                    	z	T90    	Class          	logFa        	logFaErr    	logTa       	logTaErr    	Alpha       	AlphaErr     	beta	betaErr	ktotal	dk	logTarescaled	logTaErr	logLumTa	logLumTaErr
041006A	41006	Si[51]	Kann[53]	0.72	17.4	SN-C	-12.45	0.03	4.08	0.03	1.24	0.01	0.36	0.27	0.706743453	0.103486718	3.844471553	0.03	44.76588178	0.07031379
050319A	50319	Zaninoni[60]	Kann[100]	3.24	152.54	XRR	-12.83	0.02	4.44	0.03	0.76	0.03	0.74	0.42	0.686886336	0.416745324	3.812634143	0.03	45.97552356	0.264251601
050401A	50401	Li[54],Kamble[1]	   Li[54]	2.8992	32.09	L	-13.6002	0.12095	4.1414	0.161195	0.87515	0.0478615	0.39	0.05	0.436018521	0.029666077	3.550424488	0.161195	44.89191555	0.124507159
050408A	50408	Si[51]	Kann[100]	1.24	34	L	-13.25	0.03	4.36	0.05	0.83	0.05	0.28	0.27	0.559527488	0.121836262	4.009751982	0.05	44.44698795	0.099211445
050416A	050416A	Li[54]	Kann[53]	0.65	2.49	XRF-D-IS-SN	-13.54	0.05	4.15	0.06	0.94	0.08	0.92	0.3	0.96072985	0.14433293	3.932516056	0.06	43.7006705	0.082200571
050502A	050502A	GCN[63]	Kann[100]	3.79	20	L	-12.6	0.04	3.72	0.03	1.43	0.02	0.76	0.16	0.686624786	0.172098977	3.039664487	0.03	46.36800037	0.115970359
050502B	050502B	GCN[2]	[3]	5.2	17.5	L	-12.445305	0.12284594	3.57611613	0.13998262	1.3586923	0.19846241	0.9	0.06	0.833222197	0.091215298	2.783724441	0.13998262	46.93105545	0.131725129
050525A	050525A	Kann[53]	Kann[100]	0.61	8.83	SN-B-XRR	-11.6972	0.0658	3.22416	0.10234	1.03423	0.034343	0.52	0.08	0.795652771	0.030313364	3.017334124	0.10234	45.39446415	0.067848452
050603A	50603	Kann[53]	[3]	2.82	21	L	-11.88	0.13	4.45	0.08	1.85	0.09	0.95	0.08	0.935183492	0.100270406	3.867936637	0.08	46.91449663	0.138088036
050730A	50730	Kann[53]	Kann[53]	3.97	156.5	L	-12.3658	0.044456	4.344142	0.054968	1.574343	0.069551	0.52	0.05	0.463179077	0.037133526	3.647785611	0.054968	46.47912313	0.056467836
050801A	50801	Kann[53]	Kann[100]	1.38	19.4	XRR	-10.98	0.02	2.64	0.02	1.19	0.01	0.69	0.34	0.76429522	0.225325058	2.263423043	0.02	46.96733787	0.12958881
050802A	50802	Kann[53]	Kann[100]	1.71	30	L	-11.61	0.08	2.91	0.09	0.91	0.01	0.72	0.03	0.756429746	0.022623648	2.477030709	0.09	46.5625588	0.081047617
050820A	050820A	Kann[53,60]	Kann[100]	2.61	244.69	L	-11.97	0.01	4.46	0.02	1.02	0.01	0.72	0.03	0.698068407	0.026883475	3.902492798	0.02	46.61624784	0.019486735
050824A	50824	Kann[53]	Kann[100]	0.83	22.58	XRF-SN-E	-12.5	0.03	3.65	0.06	0.65	0.01	0.45	0.18	0.717219189	0.078016861	3.38754891	0.06	44.87393696	0.055961867
050904A	50904	Li[54],Yost[1]	Kann[100]	6.295	181.57	UL	-14.18	0.12808	5.539472	0.069062	2.332396	0.187665	1	0.09	1	0.178847026	4.676446704	0.069062	45.46913099	0.149791418
050908A	50908	Zaninoni[60]	[3]	3.34	17.37	XRR	-12.61	0.08	3.26	0.13	0.82	0.08	1.8	0.09	3.235875349	0.427487258	2.62251027	0.13	46.90025853	0.098446862
050922C	050922C	Kann[53],	Zaninoni[60],	Oates[160]	Kann[100]	2.2	4.54	IS	-11.65	0.01	3.77	0.01	1.25	0.01	0.56	0.01	0.599423837	0.006972203	3.264850022	0.01	46.68968196	0.011203466
051028A	51028	Li[54],Castro[1]	[3]	3.6	16	SN-B	-13.0714	0.2287	4.04085	0.246865	1.02823	0.1334	1.1	0.18	1.164865501	0.319977061	3.378092168	0.246865	46.07294216	0.257944419
051109A	051109A	Zaninoni[60]	[3]	2.35	37.23	L	-12.14	0.03	3.74	0.04	0.81	0.02	0.96	0.04	0.952792232	0.046075521	3.214955193	0.04	46.47072853	0.036620695
051111A	51111	Si[51]	Li[54]	1.55	59.78	L	-10.91	0.03	2.77	0.04	1	0.04	0.76	0.07	0.798785838	0.052341668	2.36345982	0.04	47.18110305	0.041350297
060124A	60124	Zaninoni[60]	Misra[57]	2.3	13.63	XRR	-11.66	0.03	3.63	0.04	0.88	0	0.73	0.08	0.724438022	0.069193827	3.11148606	0.04	46.8089991	0.051192606
060206A	60206	Zaninoni[60]	Kann[100]	4.05	7.59	XRR-IS	-12.01066625	0.004353385	4.29388057	0.00413359	1.25540156	0.003759985	0.77	0.01	0.689037698	0.011158195	3.590589192	0.00413359	47.02731028	0.008271266
060210A	60210	Kann[53]	[3]	3.91	255	L	-12.4544	0.039346	3.243171	0.035759	1.327381	0.053451	0.99	0.03	0.984213199	0.046984585	2.552089508	0.035759	46.70215658	0.04447406
060313A	60313	Kann[105]	[3]	1.1	2	S	-12.892	0.13165	3.57845	0.386165	0.437193	0.0953835	0.85	0.06	0.894678716	0.039827733	3.256230705	0.386165	44.88006895	0.133061991
060418A	60418	Kann[53]	Kann[100]	1.49	144	XRR	-10.4315	0.021082	2.578446	0.02144	1.179912	0.0063	0.69	0.11	0.753664749	0.075631085	2.182246653	0.02144	47.5920394	0.048413172
060512A	60512	Kann[53]	Li[54]	2.1	8.49	XRF	-12.44	0.03	3.64	0.05	0.74	0.02	0.68	0.05	0.696248477	0.03938685	3.148638306	0.05	45.91538407	0.038776163
060526A	60526	Kann[53]	Kann[100]	3.21	298.16	XRR	-12.2	0.01	4.19	0.01	1.12	0.01	0.65	0.06	0.604646115	0.052149372	3.565717904	0.01	46.54045175	0.038768818
060605A	60605	Zaninoni[60]	[3]	3.78	114.79	XRR	-11.3667	0.041244	3.218963	0.054576	1.021558	0.072783	0.94	0.5	0.910404354	0.712136743	2.539535103	0.054576	47.72108491	0.342208466
060607A	060607A	Kann[53]	Kann[100]	3.07	99.3	L	-11.78	0.03	3.53	0.04	1.25	0.05	0.72	0.27	0.67501522	0.255819705	2.920405591	0.04	46.96176147	0.16730221
060614A	60614	Si[51],	Zaninoni[60]	Li[54]	0.13	108.7	KN-SEE-XRR	-13.05	0.04	5.09	0.02	2.15	0.02	0.47	0.04	0.937278004	0.004582076	5.036921557	0.02	42.57085878	0.040056307
060708A	60708	Li[159]	Oates[62]	1.92	10.2	L	-11.6007	0.0317	3.15661	0.0831	0.820982	0.0336165	0.88	0.05	0.879334389	0.047114016	2.691227149	0.0831	46.76080969	0.039323568
060714A	60714	Si[51]	Li[54]	2.71	114.99	XRR	-12.8093	0.046522	4.218794	0.074159	1.123968	0.054273	0.44	0.04	0.479899846	0.02516656	3.64942009	0.074159	45.65371148	0.051797636
060729A	60729	Zaninoni[60]	Kann[100]	0.54	115.35	XRR-SN-E	-12.15	0.03	5.07	0.03	1.26	0.06	0.67	0.07	0.867197789	0.026210853	4.882479279	0.03	44.85091156	0.032746049
060904B	060904B	Kann[53]	Kann[100]	0.7	171.47	XRR-SN-C	-12.1854	0.018294	3.923904	0.024033	1.19811	0.027284	1.11	0.1	1.060106217	0.056252231	3.693455079	0.024033	45.17661946	0.029423417
060927A	60927	Kann[53]	Li[54]	5.46	22.54	XRR	-12.19	0.26	3.24	0.23	1.26	0.06	0.86	0.03	0.77013604	0.043103651	2.429767482	0.23	47.20174938	0.261133738
061007A	61007	Kann[53]	Kann[100]	1.26	75.31	L	-8.76	0.07	2.17	0.03	1.75	0.01	1.07	0.19	1.058735781	0.164018621	1.815891561	0.03	49.23114866	0.097091089
061021A	61021	Oates[160]	[3]	0.3463	46.2	L	-12.4195	0.0677	4.823673	0.0674935	1.736350998	0.108428584	0.88	0.03636	0.96494593	0.010433008	4.694531154	0.0674935	44.16973674	0.067862645
061121A	61121	Zaninoni[60]	[3]	1.31	81.25	L	-12.27	0.04	3.85	0.05	1	0.01	0.81	0.0363	0.852930655	0.025922341	3.48638802	0.05	45.66908622	0.042121451
061126A	61126	Li[54],	Kann[53]	Kann[53]	1.1588	191	L	-12.3053	0.08165	3.5801	0.101225	0.922285	0.025959	0.82	0.09	0.870646315	0.060300725	3.245887591	0.101225	45.51091488	0.087014227
070110A	70110	Kann[53]	Li[54]	2.35	88.42	XRR	-12.9	0.06	4.44	0.1	0.99	0.05	1	0.14	1	0.169254448	3.914955193	0.1	45.73173032	0.094885047
070125A	70125	Zaninoni[60]	Kann[100]	1.55	60	L	-12.7448	0.027168	5.250332	0.017308	1.779596	0.052941	0.59	0.1	0.681268841	0.063773124	4.84379182	0.017308	45.27719122	0.048896313
070208A	70208	Kann[53]	[3]	1.17	64	XRR	-12.7230212	0.04339386	2.85143774	0.10060824	0.50224574	0.01799407	1.03	0.11	1.023514011	0.087223852	2.514978006	0.10060824	45.17378468	0.057033406
070318A	70318	Li[54]	[3]	0.836	74.6	L	-11.1627	0.0748	3.01049	0.10326	0.999465	0.1066565	0.85	0.5757	0.912891364	0.319319499	2.746617323	0.10326	46.32370773	0.169328509
070411A	70411	Zaninoni[60]	[3]	2.95	122.75	XRR	-12.4597	0.115184	3.319089	0.105245	1.33119	0.219221	1.09	0.11	1.131602084	0.170994935	2.722491904	0.105245	46.46477898	0.13256728
070419A	070419A	Zaninoni[60]	Kann[100]	0.97	160	XRF-SN-D	-12.67	0.12	3.27	0.07	1.4	0.05	0.6	0.36	0.762453758	0.18610892	2.975533774	0.07	44.89752067	0.160117652
070612A	070612A	Kann[53]	[3]	0.617	365.2	L	-12.376	0.35375	5.2145	0.14528	2.69428	0.53173	1.1	0.3333	1.049230731	0.168060366	5.00578998	0.14528	44.84785414	0.360524729
070810A	070810A	Kann[53]	Schady[58]	2.17	11.03	XRR	-12.45	0.11	3.77	0.12	1.5	0.11	1.01	0.08	1.011604127	0.093369571	3.268940738	0.12	46.10240887	0.117075986
071003A	71003	Kann[53]	Kann[53]	1.6	148.13	L	-13.16	0.07	5.51	0.06	2.17	0.15	0.35	0.11	0.53736246	0.056480158	5.095026652	0.06	44.79294008	0.083568265
071010A	071010A	Kann[53]	Kann[100]	0.99	6.2	L	-13.1705	0.060832	5.172418	0.033281	2.253787	0.122333	0.61	0.12	0.764622899	0.06313962	4.873564924	0.033281	44.4201629	0.070616158
071010B	071010B	Li[54],Quirola[1]	Li[178]	0.947	35.7	L	-11.8207	0.0527	3.16101	0.19345	0.633623	0.053512	0.68	0.14	0.807984251	0.075369225	2.871644048	0.19345	45.74625925	0.066471423
071025A	71025	Kann[53]	Kann[100]	5	238.14	XRR	-12.58	0.03	3.37	0.02	1.41	0.01	0.93	0.05	0.882123542	0.07902766	2.59184875	0.02	46.78118585	0.049130423
071031A	71031	Kann[53]	Kann[100]	2.69	180.89	XRF	-12.3316	0.006784	3.545649	0.012037	0.783822	0.007754	0.34	0.3	0.422437631	0.165463724	2.978622634	0.012037	46.06824451	0.170243131
071112C	071112C	Kann[100]	Kann[100]	0.82	15	SN-C	-11.73	0.01	2.56	0.02	0.92	0	0.44	0.11	0.715088877	0.047104345	2.299928612	0.02	45.62968504	0.030305267
080310A	80310	Zaninoni[60]	Kann[100]	2.43	363.46	XRR	-11.7773	0.03995	3.53482	0.03563	1.13752	0.008815	0.42	0.12	0.489248396	0.072363376	2.99952588	0.03563	46.57930358	0.075645063
080319C	080319C	Kann[53]	Kann[100]	1.95	33.94	L	-12.32	0.25	3.23	0.13	2	0.56	0.98	0.42	0.978596278	0.444633216	2.760177984	0.13	46.10446314	0.318492155
080330A	80330	Kann[53]	Kann[100]	1.51	60.7	XRF	-11.98	0.01	3.52	0.01	1.13	0	0.42	0.15	0.586393627	0.080947191	3.120326279	0.01	45.94884455	0.06077935
080413A	080413A	Si[51]	Kann[100]	2.43	46.35	XRR	-10.34	0.04	1.89	0.06	0.95	0.04	0.52	0.37	0.553425062	0.252388003	1.35470588	0.06	48.07013299	0.20205766
080413B	080413B	Kann[105],	Oates[160]	Kann[100]	1.1	6.98	L	-13.54	0.05	5.62	0.02	2.29	0.1	0.74	0.04	0.824561368	0.024470915	5.297780705	0.02	44.19662483	0.051634489
080603A	080603A	Zaninoni[60]	Kann[100]	1.69	60	L	-12.4	0.03	3.8	0.03	0.98	0.02	0.85	0.31	0.862059333	0.264443399	3.37024772	0.03	45.81675288	0.136559228
080603B	080603B	Kann[100]	Kann[100]	2.6893	60	L	-12.2511	0.01515	4.19971	0.014815	1.26607	0.02688	0.62115	0.06837	0.609836306	0.054429543	3.632766028	0.014815	46.30792183	0.041617448
080605A	80605	Kann[100]	Kann[100]	1.6403	20	L	-12.5404	0.0122	3.52993	0.02324	0.680096	0.010692	0.57477	0.35333	0.661759794	0.227013695	3.108276724	0.02324	45.52959446	0.149481438
080607A	80607	Zaninoni[60]	[3]	3.04	79.43	L	-11.2452129	0.02809919	2.02466943	0.02558645	1.54315794	0.03134347	0.98	0.0606	0.972461402	0.082282321	1.418288065	0.02558645	47.64485367	0.046258893
080710A	80710	Kann[53]	Kann[100]	0.85	119.66	L	-11.7	0.01	4.01	0.01	1.52	0.01	0.8	0.09	0.884230832	0.04895695	3.742828272	0.01	45.79032264	0.026041965
080810A	80810	Kann[53]	Page[59]	3.35	108.81	L	-10.4241572	0.01942459	2.75063488	0.02542894	1.1604073	0.00811211	0.51	0.13	0.486564326	0.092993565	2.112145623	0.02542894	48.26635788	0.08524619
080913A	80913	Kann[53]	Kann[100]	6.73	7.89	IS	-14.51	0.14	5.54	0.15	1.07	0.21	1.16	0.17	1.387103026	0.482252037	4.651820506	0.15	45.34849125	0.205908075
080928A	80928	Li[54]	Kann[100]	1.69	233.66	XRR	-12.67	0.1	4.45	0.07	2.25	0.21	1.08	0.14	1.082381056	0.14994849	4.02024772	0.07	45.6455959	0.11670418
081007A	81007	Kann[100]	Kann[100]	0.53	9.09	XRF-SN-B	-12.93	0.09	4.83	0.07	1.26	0.09	0.27	0.11	0.733120317	0.034294966	4.645308569	0.07	43.97840204	0.092264523
081008A	81008	Kann[53]	Kann[100]	1.97	185.48	XRR	-11.22	0.01	3.51	0.01	1.29	0.01	0.38	0.23	0.509203056	0.127488787	3.037243551	0.01	46.93160788	0.109192853
081029A	81029	Si[51]	[3]	0.98	269.95	L	-12.6223	0.095308	4.599535	0.071694	2.252306	0.171741	0.9	0.07	0.933971192	0.044659494	4.30286981	0.071694	45.0443499	0.09754417
081109A	081109A	GCN[115]	[3]	2.1	192	XRR	-12.86	0.45	4.43	0.31	2.4	1.02	0.95	0.06	0.945000232	0.064150515	3.938638306	0.31	45.62805173	0.450964711
081203A	081203A	GCN[116]	Li[159]	3.85	221	L	-11.7554	0.126215	4.027516	0.081744	1.826152	0.19167	1.08	0.02	1.134643264	0.035831551	3.341774261	0.081744	47.44696503	0.126957957
081228A	81228	Kann[100]	[61]	3.44	3	IS	-12.9876	0.0492	2.80122	0.047595	1.18347	0.036055	1.24	0.285	1.430118132	0.607566378	2.15383703	0.047595	46.19868934	0.190951355
090102A	90102	Kann[53]	Kann[100]	1.55	27.04	L	-12.8491691	0.07187773	3.8	0.06363846	1.15352541	0.0184382	0.74	0.22	0.783970197	0.161451245	3.39345982	0.06363846	45.23380314	0.114741946
090313A	90313	Zaninoni[60]	Kann[100]	3.38	78.32	XRR	-11.4731325	0.11078807	3.48738117	0.14845457	0.93808602	0.04038514	1	0.103	1	0.152136019	2.845907059	0.14845457	47.53950849	0.128994122
090423A	90423	Kann[53]	Kann[100]	8.23	9.77	XRR-IS	-13.39	0.08	4.7	0.09	1.12	0.1	0.45	0.13	0.294536461	0.085097379	3.734798299	0.09	45.99675558	0.14880955
090426A	90426	Si[51]	Li[54]	2.61	1.25	S-IS-XRR	-11.72	0.01	2.57	0.02	1.17	0.02	0.76	0.14	0.734849278	0.132066442	2.012492798	0.02	46.88854813	0.078689007
090510A	90510	Li[54]	Li[178]	0.903	0.3	S	-13.7153	0.08395	3.62117	0.189185	0.78981	0.0977745	0.85	0.05	0.907996515	0.029211682	3.341731212	0.189185	43.85132195	0.085104745
090529A	090529A	Li[54]	[3]	2.63	68.81	XRR	-13.09	0.03	3.97	0.07	0.52	0.02	0.12	0.0848	0.32157492	0.035156798	3.410093375	0.07	45.16765937	0.056163673
090530A	90530	GCN[4]	[3]	1.266	48	L	-11.6906017	0.17532932	5.14388454	0.05080958	3.28037472	0.09367589	0.9	0.08	0.921454742	0.06030119	4.788624634	0.05080958	46.24533821	0.177617882
090618A	90618	Kann[100]	Kann[100]	0.54	113.21	XRR-SN-C	-11.84	0.01	4.07	0.01	1.04	0	0.71	0.02	0.882305509	0.00761928	3.882479279	0.01	45.16841239	0.01068015
090726A	90726	Li[54]	[3]	2.71	59.3	XRF	-12.2265497	0.09882747	3.35418933	0.09749971	1.08675209	0.19549166	1.3	0.11	1.481877053	0.213706686	2.78481542	0.09749971	46.72612334	0.117002253
090927A	90927	Kann[100]	Kann[100]	1.37	2.16	SEE-IS	-12.96	0.07	4.31	0.11	1.12	0.11	0.41	0.16	0.601033219	0.082980084	3.935251654	0.11	44.87516704	0.092169246
091018A	91018	Li[159]	Kann[100]	0.971	4.36	L	-12.6087	0.009407	4.381196	0.009379	1.272917	0.012642	0.60705	0.01791	0.765954357	0.00930839	4.086509376	0.009379	44.96191599	0.010786437
091020A	91020	Kann[100]	Kann[100]	1.71	38.91	L	-10.8705	0.04935	2.58947	0.04193	1.08875	0.00706	1.06	0.09	1.061642161	0.095256243	2.156500709	0.04193	47.44926836	0.06287979
091024A	91024	Kann[100]	Kann[100]	1.09	98.9	UL	-11.21	0.04	3.97	0.03	1.63	0.04	0.64	0.29	0.766915185	0.163949272	3.649853714	0.03	46.48533445	0.101092609
091029A	91029	Kann[100],	Oates[160]	Kann[100]	2.75	39.2	XRR	-12.77	0.01	4.45	0.02	1.1	0.01	0.43	0.03	0.470762843	0.018667006	3.875968732	0.02	45.7000425	0.019913832
091127A	91127	Si[51]	Li[54]	0.49	6.96	XRR-SN-B	-12.02	0.01	4.42	0.01	1.19	0.01	0.43	0.1	0.796679839	0.03176969	4.246813732	0.01	44.84263113	0.019998371
100219A	100219A	Si[51]	Kann[100]	4.67	22.17	L	-12.92	0.1	3.37	0.07	1.67	0.18	1.27	0.08	1.597597697	0.221770731	2.616416941	0.07	46.62940403	0.116766774
100316B	100316B	Kann[100]	[3]	1.18	3.8	L	-11.7542	0.27115	4.081453	0.2065975	1.967913754	0.187276796	1.14	0.14	1.115279987	0.121683161	3.742996506	0.2065975	46.18904389	0.275259073
100316D	100316D	Li[54]	Li[178]	0.06	521.88	UL-SN-A-XRF-VL	-12.9423622	0.10555356	6.41	0.06	2.12	0.18	0.94	0.05	0.99650997	0.002903277	6.384694135	0.06	41.99244132	0.105561143
100418A	100418A	Si[130]	Li[159]	0.62	7.04	XRF-SN-D	-13.02	0.11	4.86	0.15	1.06	0.12	0.98	0.09	0.990397875	0.043001445	4.650484985	0.15	44.18391446	0.111604489
100508A	100508A	GCN[5]	[3]	0.5201	52	L	-12.87693247	0.15766039	4.020463247	0.387988678	0.875388989	0.292399137	0.4	0.07	0.777815699	0.022801145	3.838591088	0.387988678	44.03745705	0.15817357
100513A	100513A	GCN[6]	[3]	4.772	84	L	-13.09028221	0.168576255	4.323621185	0.213690952	1.387361186	0.282342723	1.2	0.1	1.419924538	0.248915418	3.562294863	0.213690952	46.43000734	0.184970623
100621A	100621A	Kann[100]	Kann[100]	0.54	63.55	XRR	-11.87	0.03	4.18	0.02	1.55	0.05	0.78	0.09	0.90938009	0.03533889	3.992479279	0.02	45.15153884	0.034421339
100814A	100814A	Kann[173]	Kann[100]	1.439	174.5	L	-12.9168	0.0267	5.59489	0.013105	2.25952	0.052845	0.41063	0.04311	0.591274271	0.022726433	5.2076782	0.013105	44.96399631	0.031488669
100901A	100901A	Kann[100]	Kann[100]	1.41	436.53	L-VL	-12.17	0.02	4.9	0.02	1.6	0.03	0.74	0.02	0.795564817	0.013996002	4.517982957	0.02	45.817837	0.02140969
100906A	100906A	Li[54]	Kann[100]	1.73	114.34	XRR	-10.419	0.019906	2.603734	0.023956	1.09688	0.015473	0.84	0.22	0.851557496	0.188148524	2.167571353	0.023956	47.81742833	0.097998781
101219B	101219B	Kann[100]	Kann[100]	0.55	41.95	XRR-SN-B	-12.03	0.02	3.87	0.02	0.97	0.01	0.58	0.07	0.831880007	0.025520286	3.679668302	0.02	44.97208439	0.024031399
101225A	101225A	Li[54]	[3]	0.847	1088	UL-XRR-SN-D-VL	-14.1	0.06	5.38	0.17	0.7	0.08	0.7	0.0303	0.83187856	0.015465413	5.113533105	0.17	43.36003346	0.060540801
110205A	110205A	Kann[100]	Kann[100]	2.21	266.8	XRR	-13.04	0.06	4.79	0.03	1.95	0.11	0.74	0.04	0.738428911	0.034448327	4.283494968	0.03	45.39506074	0.063328317
110213A	110213A	Li[54]	Kann[100]	1.4607	48	L	-11.5304	0.0418	4.36285	0.03889	1.91037	0.065815	0.9	0.06	0.913890437	0.049374532	3.971791331	0.03889	46.55555735	0.047935131
110422A	110422A	GCN[7]	[3]	1.77	25.9	L	-12.22797237	0.1310943	3.341312481	0.242676494	0.628947581	0.035660821	0.886	0.042	0.890342913	0.038099187	2.898832712	0.242676494	46.05221017	0.132405008
110503A	110503A	GCN[8]	[3]	1.613	10	L	-12.98397308	0.066673905	4.715862159	0.060449994	1.398044726	0.139783874	0.8	0.04	0.825224509	0.031705092	4.298722749	0.060449994	45.1639337	0.068730038
110715A	110715A	Kann[100]	Kann[100]	0.82	13	XRR	-12.24	0.06	5.19	0.06	1.51	0.09	0.9	0.22	0.941874114	0.124086292	4.929928612	0.06	45.23931788	0.0829074
110726A	110726A	Kann[100]	Kann[100]	1.036	5.2	L	-12.5125771	0.03213949	3.22767734	0.06022066	0.6950713	0.02329436	0.5	0.19	0.700827465	0.094673064	2.918899566	0.06022066	45.08902612	0.066894356
110731A	110731A	Kann[176]	[3]	2.83	38.8	L	-12.6474278	0.14345049	4.11694922	0.23620474	1.16225128	0.10951637	0.65	0.07	0.625000593	0.058750391	3.533750446	0.23620474	45.97576211	0.149146354
110801A	110801A	GCN[9]	[3]	1.858	385	XRF-L	-11.82200427	0.034930855	4.036447759	0.03099577	1.59481005	0.044803056	1	0.06	1	0.063007325	3.580385535	0.03099577	46.56038147	0.044372723
111107A	111107A	GCN[10]	[3]	2.893	26.6	L-XRF	-12.52587558	0.23814574	3.190432686	0.380189085	0.733879246	0.082265082	1	0.09	1	0.122326206	2.600148282	0.380189085	46.32449407	0.243999431
111209A	111209A	Kann[100]	Kann[100]	0.68	320	UL-SN-A	-12.22	0.08	4.38	0.08	1.33	0.16	1.05	0.06	1.026279051	0.031945632	4.154690718	0.08	45.09715727	0.081134157
111228A	111228A	Kann[177]	177	0.714	101.2	SN-C	-12.0111	0.00575	4.28017	0.008735	0.93593	0.005345	0.69	0.07	0.846168096	0.031915842	4.046159182	0.008735	45.27407605	0.017360637
120119A	120119A	Si[139]	Li[159]	1.728	253.8	L	-12	0.06	3.44	0.05	1.51	0.08	0.89	0.01	0.895482534	0.008986783	3.004155634	0.05	46.25703573	0.060158092
120404A	120404A	Li[54]	Li[159]	2.87	48	XRR	-12.1911	0.046053	3.966545	0.034115	1.744036	0.085691	1.05	0.09	1.070004362	0.13031894	3.378834035	0.034115	46.68029785	0.070133107
120711A	120711A	Liang[178]	Li[178]	1.405	115	L	-12.9249	0.108379	4.394018	0.116386	1.107014	0.197821	0.53	0.02	0.66202732	0.01161924	4.012902919	0.116386	44.97932472	0.108646708
120729A	120729A	Kann[100]	Kann[100]	0.8	93.8	SN-D-XRR	-12.03	0.03	3.81	0.02	2.13	0.05	0.89	0.12	0.93738937	0.066118197	3.554727495	0.02	45.42085949	0.042876128
120815A	120815A	Si[142]	Li[159]	2.36	9.7	L	-12.3315	0.015728	3.266303	0.033134	0.6555	0.020651	0.78	0.01	0.76595871	0.009282967	2.739963723	0.033134	46.18892168	0.016585334
120907A	120907A	GCN[11]	[3]	0.97	16.9	L	-12.02783748	0.07849181	2.844130665	0.160635186	0.787588906	0.055885755	0.7	0.06	0.815943585	0.033194227	2.549664439	0.160635186	45.56912982	0.080455712
120923A	120923A	Kann[179]	Kann[100]	7.8	27.2	L	-15.0535606	0.23432028	5.43081828	0.15107518	2.31166458	0.52502899	0.54	0.48	0.367737544	0.383874171	4.486335608	0.15107518	44.37611058	0.510327093
121128A	121128A	GCN[12]	[3]	2.2	23.3	L	-11.4998302	0.117789065	3.026682743	0.179004407	0.954087849	0.169469648	0.8	0.05	0.792446596	0.046086745	2.521532765	0.179004407	46.96108776	0.120466614
