"","Redshift_crosscheck","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","is_optical"
"130408A",3.757,1.447158031,-10.32975415,3.58393,1.39277,0.945,2.03183,-5.638272164,1.28,20.06405721,0.69019608,13.06603535,0.077,0.070305,0.0643,0.117120218,3.99999999382129e-07,0.26,1.00000000084789,0
"130418A",1.218,2.07200023240372,-9.247183569,2.59006,1.28449,0.198,1.68684,-5.744727495,2.07,21.12149747,-0.22184875,46.08809848,0.06047,0.06867,0.031625,0.003,1.99999998154912e-07,0.17,0.199999999407363,0
"130420A",1.297,2.091666958,-10.8728952,3.56731,0.914676,1.17,2.29559,-5.148741651,1.52,20.79265849,0.531478917,11.73673073,0.05505,0.08535,0.0286905,0.005,2.99999999109595e-07,0.25,0.199999998183027,0
"130511A",1.3033,0.73479983,-10.51570016,2.65954,1.16497,0.65,2.06879,-6.657577319,1.35,21.01365445,0.113943352,2.212184473,0.0838,0.089385,0.04916,0.01,3.99999999792346e-08,0.31,0.200000000824285,0
"130514A",3.6,2.309630167,-10.7212464,3.68772,1.17745,0.65,2.0604,-5.040958608,1.8,21.19799139,0.447158031,12.81269759,0.078,0.078365,0.04188,0.08,2.0000000680444e-07,0.05,0.30000000213302,0
"130604A",1.06,1.57634135,-8.316052869,2.071571247,1.742079764,0.98,2.08823,-5.853871964,1.51,21.35024026,-0.096910013,4.559271868,0.166441725,0.100184013,0.041653571,0.015,9.99999987148146e-08,0.12,0.19999999912723,0
"130606A",5.913,2.441820772,-10.18045606,3.30222,1.37571,0.44,1.86465,-5.537602002,1.52,20.24962877,0.414973348,19.31096766,0.06815,0.07782,0.05186,0.045,2.00000002854189e-07,0.12,0.200000000979027,0
"131030A",1.295,1.613841822,-9.294136288,2.84594,1.11188,0.693,2.09466,-4.537602002,1.3,20.84178667,1.44870632,4.042662472,0.025175,0.027575,0.00815,0.0075,0,0.03,0.700000016427029,0
"131105A",1.686,2.050379756,-10.91009489,3.9488,1.19347,0.94,2.24976,-5.148741651,1.45,21.32749584,0.544068044,4.086802216,0.03335,0.047885,0.04544,0.005,4.9999999306654e-07,0.11,0.600000002643099,0
"140206A",2.73,1.971275849,-9.730487056,3.59073,1.22509,0.672,1.88134,-4.795880017,1.04,22.00531353,1.28780173,13.75282388,0.012995,0.021325,0.015545,0.021902336,3.0000001734364e-07,0.15,0.500000011244124,0
"140213A",1.2076,1.77815125,-10.12551818,3.829176603,1.108879519,0.83,1.96657,-4.920818754,1.8,20.99187128,1.371067862,2.62312486,0.06303582,0.068643889,0.021746292,0.005,0,0.04,0.799999999447402,0
"140419A",3.956,1.976349979,-10.00568285,3.68383,1.36898,0.678,1.87322,-4.795880017,1.21,22.04094236,0.69019608,3.817215769,0.023985,0.02442,0.017885,0.001,0,0.04,0.199999995656511,0
"140423A",3.26,2.127104798,-10.85078089,3.90552,1.18974,0.77,2.06486,-5.026872146,1.33,21.81946365,0.322219295,23.01198296,0.05035,0.05495,0.045115,0.149849463,2.99999996198697e-07,0.06,0.199999999015796,0
"140430A",1.6,2.239549721,-11.36251027,4.14388,0.875171,1.03,2.15785,-5.958607315,2,21.67796993,0.397940009,3.69174647,0.0861,0.13071,0.0833725,0.035,1.9999999974143e-07,0.22,0.20000000272843,0
"140506A",0.889,2.045714059,-9.903089987,3.30686,0.948932,0.9,1.74751,-5.552841969,1.68,21.81764402,1.037426498,9.556709938,0.05516,0.06882,0.01557,0.047966029,3.0000000213302e-07,0.16,0.899999989961908,0
"140509A",2.4,1.17092730333444,-11.09770006,3.58709,1.40649,0.86,1.93407,-5.920818754,1.59,20.90144742,0.204119983,5.171156949,0.08395,0.088715,0.10418,0.22,1.20999999272254e-07,0.121212121,0.431248681575114,0
"140512A",0.725,2.189770956,-9.504455662,3.53686,1.25134,0.871,1.84304,-4.853871964,1.45,21.32824297,0.832508913,4.787065924,0.01504,0.022285,0.02006,0.002482817,2.99999989697205e-07,0.04,0.300000005335443,0
"140518A",4.707,1.781755375,-11.31158018,3.77824,1.64981,0.94,1.93772,-6,0.92,22.46148952,0,2.429189161,0.09045,0.070125,0.18819,0,9.99999995617601e-08,0.61,0.09999999956176,0
"140629A",2.275,1.62324929,-9.847711656,2.85608,1.16056,0.815,1.95996,-5.619788758,1.86,21.74269921,0.62324929,11.54148842,0.042785,0.06161,0.03501,0.001678552,2.00000001098398e-07,0.11,0.399999997420043,0
"141004A",0.573,0.593286067,-10.61083392,3.30337,1.54959,1.08,1.79496,-6.173925197,1.86,21.49730845,0.785329835,1.073372291,0.0853,0.081935,0.09774,0.005,3.00000006720731e-08,0.08,0.299999999829135,0
"141121A",1.47,2.74028372,-12.65757732,5.76634,2.33322,0.82,1.93447,-5.27572413,1.73,21.59590717,-0.045757491,37.82221354,0.1675,0.090095,0.2969,0.01,3.99999999996278e-07,0.13,0.299999999072581,0
"141220A",1.3195,0.857935265,-9.872830386,2.77561,1.42066,1.1,1.80565,-5.585026652,0.62,21.48574413,0.949390007,0.473776348,0.042455,0.057375,0.050735,0.07,1.00000000489514e-07,0.38,0.700000001419048,0
"150120B",3.5,2.01762288488796,-10.79048499,3.39431,1.17705,0.92,2.01678,-6.26760624,2.2,21.52664292,0.079181246,3.388285726,0.0711,0.090535,0.057705,0.005,4.84999994388101e-08,0.151515152,0.149789635521264,0
"150314A",1.758,1.169968174,-8.609064893,2.49217,1.19079,0.73,1.84772,-4.657577319,1.08,22.01715025,1.58546073,2.631341157,0.015025,0.015855,0.009925,0,2.99999975782245e-07,0.03,0.900000041974797,0
"150403A",2.06,1.611723308,-8.821023053,3.19694,1.24471,0.679,1.70996,-4.769551079,1.23,21.79039707,1.245512668,12.01358912,0.005105,0.006975,0.00458,0,2.99999989213637e-07,0.04,0.600000012363867,0
"150821A",0.755,2.23578087,-8.853871964,2.95174,1.82628,0.848,2.21622,-6.102372909,2.1,22.340573,-1.49776679460977,99.0437544,0.021105,0.015485,0.027365,5e-04,1.90000000606037e-07,0.37,0.0137888213670293,0
"151021A",2.33,2.042181595,-9.642065153,3.15765,1.33346,1.27,1.96079,-4.552841969,1.57,22.33647975,0.986771734,3.648780623,0.06282,0.05208,0.02141,0.04,9.99999985619271e-07,0.04,0.800000008437599,0
"151027A",0.81,2.11290649,-9.935542011,3.99907,1.74508,0.9235,2.00612,-5.107905397,1.72,21.65076489,0.832508913,5.47526252,0.02221,0.01731,0.02499,0.002440971,2.00000001108127e-07,0.05,0.599999995013308,0
"160117B",0.87,0.697062187810827,-11.74958,4.10299,0.973333,0.64,1.83834,-6.4710833,1.73,20.95374423,-0.705929807788426,2.461495511,0.12265,0.162075,0.093958,0.015,4.38006934127586e-09,0.0041822719666068,0.0553767756856105,0
"160203A",3.52,1.305351369,-11.36754271,3.66139836,1.146279559,0.61,1.75592,-5.920818754,1.93,22.0158332,0.113943352,3.236126049,0.08458679,0.087010427,0.0601909,0.25,1.00000000471828e-07,0.2,0.399999998655209,0
"160227A",2.38,2.500373714,-10.99567863,4.47751,1.10229,0.679,1.72551,-5.508638306,0.75,21.4198963,-0.22184875,75.36821526,0.03055,0.03885,0.03434,0.001,2.00000001272167e-07,0.51,0.100000000394457,0
"160804A",0.736,2.15896526,-11.5214335,4.38419,0.948229,0.92,1.87827,-4.943095149,1.4,21.30214687,0.462397998,19.22975247,0.05875,0.095375,0.070062,0.005,2.99999995689751e-07,0.23,0.299999997603786,0
"161108A",1.159,2.021602716,-11.81247928,4.69106,0.883711,0.84,2.00325,-5.958607315,1.85,21.16074757,-0.22184875,11.8942948,0.13355,0.18179,0.0812555,0.005,1.00000001137137e-07,0.17,0.100000000394457,0
"161117A",1.549,2.099335278,-10.74958,4.08464,1.141,1.375,1.92624,-4.698970004,1.19,21.87736847,0.832508913,1.095627703,0.03835,0.04019,0.02365,0.674290141,0,0.12,0.300000005335443,0
"161129A",0.645,1.550595207,-10.43651891,3.70506,2.32574,0.71,1.74506,-5.443697499,1.57,21.51361441,0.531478917,2.093571159,0.10625,0.050725,0.10628,0.005,1.0000000329948e-07,0.06,0.199999998183027,0
"161219B",0.1475,0.84135947,-10.13667714,4.0135,0.871656,0.73,1.86204,-5.823908741,1.29,21.16590877,0.72427587,0.791979781,0.0277,0.03841,0.008668,0,9.99999983976464e-08,0.35,0.399999999996278,0
"170202A",3.645,1.664641976,-10.65364703,3.77629,1.1958,1.04,1.99768,-5.48148606,1.68,21.7153121,0.672097858,11.44830537,0.04485,0.068655,0.059155,0,1.00000001201687e-07,0.07,0.299999995966583,0
"170519A",0.818,2.335257256,-11.06348626,4.1513,1.37345,0.975,1.97351,-5.958607315,1.94,21.33992622,-0.15490196,49.40433008,0.053,0.052235,0.066745,0.224423613,1.9999999974143e-07,0.26,0.100000000249253,0
"170705A",2.01,2.337059726,-10.18641901,3.63746,0.774169,0.66,1.89159,-5.022276395,1.65,21.08891889,1.1430148,18.07805176,0.04055,0.06603,0.027333,0.005,3.00000008847384e-07,0.05,0.400000001927405,0
"170903A",0.886,1.465382851,-11.26042766,4.41384,0.971187,1.14,2.20256,-5.619788758,1.94,21.73970839,0.591064607,3.59505881,0.04095,0.065935,0.051271,0.005,2.00000001098398e-07,0.12,0.500000002383462,0
"171222A",2.409,2.242541428,-12.10957898,4.78231,0.718496,1.34,1.99001,-5.721246399,2.07,20.02880298,-0.15490196,22.66456934,0.20975,0.378455,0.126956,0.015,2.00000001678087e-07,0.17,0.200000000498506,0
"180205A",1.409,1.190331698,-10.30627305,3.21372,1.09633,1.03,1.88733,-6,2.04,21.4933967,0.531478917,3.123262328,0.06455,0.088815,0.042095,0.005,9.99999995617601e-08,0.13,0.29999999727454,0
"180329B",1.998,2.322219295,-11.14935376,4.02296,1.50063,0.77,1.86768,-5.48148606,0.97,21.41988474,0.146128036,44.04594331,0.04825,0.04314,0.069665,0,3.00000003605061e-07,0.56,0.400000001306496,0
"180620B",1.1175,2.29841638,-10.98296666,4.6659,1.09835,0.9,1.99236,-5,1.3,21.21643247,0.556302501,27.4443118,0.0437,0.067125,0.059445,0.005,2.9999998947494e-07,0.2,0.199999998309654,0
"180624A",2.855,2.686993566,-11.54363397,4.171185481,1.243849338,0.95,2.06008,-5.236572006,1.91,21.1034582,0.146128036,38.50431688,0.088149935,0.099379055,0.123366444,0,3.00000004513397e-07,0.1,0.200000000653248,0
"180720B",0.654,3.06444019010425,-8.847711656,3.62033,1.34127,0.729,1.8461,-4.065501549,1.36,21.24271531,1.831869774,3.688453378,0.004975,0.00614,0.005375,0,1.00000003189813e-06,0.03,2.60000001616931,0
"180728A",0.117,0.938519725,-9.42365865,3.8695,1.1986,0.8595,1.70111,-4.528708289,1.97,21.58733599,2.120573931,0.297321378,0.009885,0.014745,0.0091,0.042486494,6.00000032288427e-07,0.03,2.89999994907512,0
"181010A",1.39,1.214843848,-9.928117993,3.15711,1.07011,1.115,1.76613,-6.161150909,1.52,22.27837171,0.146128036,2.192792779,0.034615,0.057805,0.033375,0.007041969,6.99999992750645e-08,0.15,0.200000000653248,0
"181020A",2.938,2.376576957,-10.42365865,4.29043,2.64643,1.228,1.93674,-5.091514981,1.25,20.65703194,0.886490725,11.5888181,0.1418,0.047555,0.091985,0.029531206,3.00000003604534e-07,0.06,0.299999995803032,0
"190114A",3.3765,1.823474229,-10.75202673,3.74534,1.18375,0.86,1.83214,-6.096910013,2.06,21.6447605,-0.301029996,10.18381229,0.03365,0.042215,0.04616,0,1.19999999476338e-07,0.22,0.20000000012007,0
"190719C",2.469,2.268811904,-11.257,4.88123,1.55953,0.915,1.5415,-5.292429824,1.64,20.95382587,0.740362689,9.689285646,0.2175,0.1943,0.21085,0.22,2.99999997236077e-07,0.09,0.300000000646454,0
"190829A",0.0785,1.764922985,-9.56068,4.0838,1.03996,1.16,2.0913,-5.193820026,2.56,22.04910001,1.255272505,8.854522046,0.013585,0.01916,0.009675,0.075,7.00000000642427e-07,0.21,2.69999998752527,0
"191011A",1.722,0.867467488,-10.8132081,3.15321333,1.30602449,0.94,1.81479,-6.48148606,1.94,21.65033473,0.255272505,0.950286355,0.05719327,0.06597695,0.05756962,0.19,3.99999997208218e-08,0.17,0.199999998154912,0
"200829A",1.25,1.115277591,-8.6381,2.97975,1.29833,0.64,1.88219,-4.292429824,0.83,21.08966848,1.994317153,2.91,0.00955,0.00926,0.00866,0.0195,9.99999990786924e-07,0.03,1.60000005522377,0
"201104B",1.954,0.937517892,-9.38944702,2.72159651,1.19537497,0.605,1.55046,-5.744727495,1.47,21.73058526,0.612783857,0.161839373,0.02110237,0.02972805,0.02348264,0.175,9.99999990774559e-08,0.07,0.300000000030173,0
"210210A",0.715,0.819543936,-10.1403778,3.72413045,1.5451851,0.965,1.85188,-6.008773924,1.53,21.12319546,0.84509804,0.58931824,0.05799791,0.08857348,0.10645081,0.15,8.0000000581035e-08,0.58,0.499999993187216,0
"210411C",2.826,1.10720997,-9.72925773,2.93128506,1.16829405,1.21,1.88408,-5.920818754,1.6,21.05996459,0.681241237,0.597059548,0.05048963,0.05901459,0.03209979,0.14,1.00000000471828e-07,0.4,0.299999998425834,0
"210517A",2.486,0.485721426,-10.8415194,3.057651,1.21043545,0.66,1.71079,-6.823908741,1.85,21.15768338,0.176091259,1.409113169,0.25872455,0.32132806,0.08060357,0.22,2.99999998646817e-08,0.25,0.200000000249171,0
"210610B",1.13,1.841234296,-9.19036,2.89514,1.05139,0.78,1.91684,-4.443697499,0.98,21.03780485,1.130333768,2.53,0.0226,0.02831,0.01291,0.029,1.0000000329948e-06,0.11,0.699999994983173,0
"210619B",1.937,1.784617293,-8.55006175,2.91049117,1.12578835,0.745,1.92306,-4.022276395,1.41,21.83430305,2.06069784,0.277416677,0.01027813,0.01099582,0.00437126,0.07,1.00000002949128e-06,0.02,2.19999992870022,0
"210722A",1.145,1.700703717,-10.3507,3.6504,1.43908,0.81,1.83712,-5.602059991,1.62,20.54058972,0.342422681,10.53830531,0.0364819,0.0395981,0.048071,0.09,2.0000000272843e-07,0.14,0.49999999847401,0
"210822A",1.736,2.257198426,-8.20842,2.4985,1.267456,0.77,1.70788,-4.698970004,1.3,21.53322281,1.442479769,42.72,0.017735,0.01621,0.008455,0.026,4.00000016977205e-07,0.4,0.700000012255762,0
"211024B",1.1137,2.780677274,-8.56429146,3.43921565,1.92622006,1.07,2.08,-5.167491087,1.63,20.98677173,-0.045757491,20.65497765,0.01916437,0.01167528,0.00965772,0.055,3.00000005335443e-07,0.09,0.200000000072496,0
"220101A",4.618,2.238948898,-8.69262974,3.04134881,1.20052929,0.491,1.62241,-4.602059991,1.13,21.90370028,0.86332286,12.50116167,0.01431841,0.02317526,0.01255481,0.016,0,0.13,0.299999992615351,0
"220117A",4.961,1.697316542,-10.1070569,3.43803362,1.68612083,1.2,1.78537,-5.795880017,1.84,21.99532933,0.278753601,3.431095393,0.05084186,0.04500955,0.06200239,0.55,1.99999999281973e-07,0.18,0.399999998981262,0
"230325A",1.664,1.580354661,-10.9066853,3.7823081,0.931411844,1.025,2.0855,-5.886056648,1.82,22.22918251,0.51851394,11.56039866,0.1875455,0.20042492,0.05714513,0.18,2.00000000824285e-07,0.18,0.399999997208217,0
"230506C",3.7,1.491361694,-11.4531,4.25859,1.14181,1.11,2.08995,-5.769551079,1.89,20.96124782,0.380211242,6.32455532,0.1023,0.11841,0.11299,0.29,2.00000001942679e-07,0.17,0.499999999982894,0
"230818A",2.42,0.992111488,-11.0883,3.9564,1.39195,1.02,2.00403,-5.721246399,1.36,21.31377445,0.826074803,1.249953617,0.2044,0.12794,0.19715,0.29,9.99999986515876e-08,0.1,0.500000000916339,0
"231210B",3.13,0.873320602,-10.048,3.24045,1.60174,0.84,1.66432281,-5.853871964,1.08,21.82763844,0.591064607,0.647,0.05243,0.04808,0.060675,0.362,2.00000000653248e-07,0.19,0.700000003336847,0
"100316D",0.06,2.71757065371296,-10.8579131682838,4.66846146620404,1.75355963791299,0.926569920416175,1.92522471762622,-6.52287874528034,2.29,21.6072898526736,-1,5.171156949,0.818778561102085,0.646027282674018,0.29804023577143,0.188997090716444,2.68358178775312e-06,0.339910935809795,1.78336208015246,1
"100508A",0.5201,1.7160033436348,-10.8612914243937,3.8328814755778,1.16053591955701,0.869609100140076,2.00971050945629,-6.15490195998574,1.23,20.8435697396165,-0.397940008672038,5.171156949,0.796620830265322,0.607234309860418,0.308882747368254,0.212233474672427,2.27074596803031e-06,0.354754805907952,2.39641059432411,1
"101225A",0.33,3.03662889536216,-11.4453444190571,4.30533837026906,1.06841621588844,0.884844013925587,2.02809112311553,-5.72124639904717,1.82,21.1177096786008,NA,5.171156949,0.82410854545242,0.662357828439583,0.285695253257142,0.200375461263254,2.01294680126155e-06,0.37041477486358,2.0034970203517,1
"110205A",2.21,2.42618582524451,-10.9414959935364,4.12447667765623,1.66548696307048,0.895777934730225,1.98721347519301,-4.76955107862173,1.8,21.3704298125407,0.556302500767287,5.171156949,0.754318547138539,0.581541943084264,0.29068528294933,0.207689479656747,2.30833672053176e-06,0.366973821230822,1.68339467061934,1
"110801A",1.858,2.5854607295085,-10.4137429727986,3.79945122167876,1.50053150005181,0.936567812898905,1.96208883408776,-5.32790214206428,1.84,21.3905023625177,0.041392685158225,5.171156949,0.798224989661218,0.594043641633318,0.282593371513314,0.206518476204361,4.25462165450615e-06,0.303703774582429,4.48979209960068,1
"111107A",2.893,1.42488163663107,-10.7456500455475,3.51009002092789,1.08283531471763,0.915132186757025,2.02047176910533,-6.05551732784983,1.49,21.5667520502364,0.0791812460476248,5.171156949,0.795220945221138,0.61484531367953,0.280521103009922,0.195759763064699,1.41627442142963e-06,0.444729432140142,1.97981156425556,1
"011211A",2.14,2.43136376415899,-11.1556017679022,4.230517003406,1.70514534884549,0.872784899366723,1.99400402522466,NA,NA,NA,NA,5.171156949,0.809873988821759,0.603392395305161,0.273896198207744,0.186034126725646,1.78272115741566e-06,0.4123602694689,1.21353186358323,1
"120119A",3.1,2.40449161775869,-10.5100924659545,3.60478989503004,1.45932907066163,0.924798509238243,1.97024763804173,-4.76955107862173,1.38,22.0220281244648,1.01283722470517,5.171156949,0.782521865319912,0.609775585931412,0.288597001845839,0.212987778020553,2.53641589446729e-06,0.351236931803088,3.63932278125417,1
"120711A",1.405,2.06069784035361,-10.9060212482064,3.94868708395473,1.26456792636399,0.883697489430178,2.0040719164319,NA,NA,NA,NA,5.171156949,0.817157200618843,0.598893967856559,0.291497156350018,0.192291957810839,2.50920587821388e-06,0.342936871160074,2.37804938127971,1
"120815A",2.36,0.986771734266245,-10.6405737471681,3.49974291621967,1.05434694614828,0.905105920688666,2.0138963388086,-6.30980391997149,2.29,21.7724273330753,0.342422680822206,5.171156949,0.803771857728396,0.61759060465579,0.262851365024431,0.194151734967598,1.50486154746077e-06,0.462500517597972,2.2270810435573,1
"121217A",3.1,2.89097959698969,-10.6318676827102,3.62635592511988,1.11033568408378,0.909985911496193,2.01230681700028,-5.20760831050175,1.53,21.6003031960224,0.255272505103306,5.171156949,0.772543233003998,0.608955613987584,0.284653402473555,0.197166543651574,1.89150560899479e-06,0.406340353543453,2.57833285619495,1
"130215A",0.6,1.81291335664286,-11.228179355626,4.47566872912981,1.75651920397818,0.917729069050746,1.98680549729582,-5.26760624017703,1.59,NA,0.397940008672038,5.171156949,0.80102769884649,0.604706718140506,0.377133530081475,0.195427526178432,1.94021029118277e-06,0.385300830248446,1.32332461374382,1
"130427A",0.34,2.38214316788425,-10.1973351685941,3.95079661430382,1.35409362082739,0.901404152249152,1.9460619074991,-3.50863830616573,1.21,20.9902149432877,2.51982799377572,5.171156949,0.823208209661506,0.615892584134049,0.285559024763179,0.196880473119962,6.83281917346077e-06,0.299018934582527,7.95438230349581,1
"140801A",1.32,0.845098040014257,-10.8898438335152,3.87093375875993,1.16276287374139,0.899465591105711,2.0218492389769,NA,NA,NA,NA,5.171156949,0.777590705099899,0.596124798452059,0.268427202917427,0.197079706400395,2.27363083060305e-06,0.348436390344305,2.40812380241513,1
"140907A",1.21,1.89872518158949,-10.6675502245585,3.86888301641837,1.19695792520182,0.932791245404936,2.02030270730718,-5.36653154442041,1.72,21.4811071031878,0.397940008672038,5.171156949,0.779614455981657,0.626351214038264,0.282820408006585,0.196499674101842,2.75015770034641e-06,0.344206908089495,3.08415255380777,1
"141221A",1.45,1.52074547151948,-10.2134759676048,3.40655032988471,1.33687036320959,0.864392906044507,1.94208334166005,-5.67778070526608,1.74,21.4678876805073,0.491361693834273,5.171156949,0.801513827503022,0.613619986977102,0.266627710054679,0.213030184448872,3.67690916493129e-06,0.354168343763921,5.1354881668521,1
"150910A",1.3585,2.04999285692014,-10.0519667160358,3.42956686333961,1.35641845691502,0.884878966906934,1.93173107254686,-5.31875876262441,1.42,20.8424220033577,0.041392685158225,5.171156949,0.788330575104645,0.615730247334606,0.275473546181531,0.197619933030904,5.39970897578192e-06,0.321352033674879,6.30296047081399,1
"160131A",0.972,2.51188336097887,-10.1331485075194,3.75232338430684,1.36119162004146,0.920889072829207,1.94009951929624,-4.6903698325741,1.24,21.6809670024194,0.806179973983887,5.171156949,0.822297024770114,0.620714482357302,0.267906116331233,0.205718973695338,6.10249952520245e-06,0.2961569228728,6.99381171168078,1
"160425A",0.555,2.48370138233946,-10.6884625623508,3.66402376624325,1.18190609882058,0.975065476344945,2.03194647835481,-5.67778070526608,2.2,22.0551068124653,0.447158031342219,5.171156949,0.772881918763161,0.610379423568307,0.27999309900213,0.207812103652522,1.90798523853862e-06,0.368053391968816,2.42471021607622,1
"161014A",2.823,1.26245108973043,-10.8243351164,3.76286926224575,1.3889077727368,0.915640869741086,1.98518263271791,-5.72124639904717,1.47,22.1865749602921,0.462397997898956,5.171156949,0.763636781037765,0.620420617975041,0.280769237615468,0.195230833000052,2.04935846815298e-06,0.351361618036358,2.33806533480313,1
"161023A",2.71,1.64345267648619,-10.4650002988299,3.98560092947136,1.39183974218314,0.892301882712798,1.9702009510849,NA,NA,NA,NA,5.171156949,0.777410589726627,0.638631321064819,0.272088363879232,0.191308852484248,4.67704244969381e-06,0.311932173275816,4.86375696219531,1
"170113A",1.968,1.3151303171836,-10.7421911628546,3.76680133950169,1.25498217765659,0.914479273982707,2.00438910140838,-6.17392519729917,0.75,21.4429483034211,0.041392685158225,5.171156949,0.73466578885982,0.616179213557235,0.257728222149647,0.18946727365802,2.2922491845289e-06,0.352130051687496,2.66018289728072,1
"170607A",0.557,1.36172783601759,-10.4119099297195,3.8826082802534,1.21254328168375,0.919467460899354,1.99066464114436,-5.1249387366083,1.61,20.9020366322178,NA,5.171156949,0.785961061671918,0.610410681958188,0.279276240543408,0.208943722217232,3.95890705788953e-06,0.345069276943719,4.89587959374484,1
"170714A",0.793,3,-11.0700247039308,3.94551730645095,1.62604458387889,0.933612092093398,1.97887724607714,-5.55284196865778,1.76,21.0685795178507,-0.397940008672038,5.171156949,0.827352875630253,0.595679855487994,0.394054489333475,0.194010229417449,1.68154269811812e-06,0.379852623431707,1.52283107300284,1
"180115A",2.487,1.61172330800734,-10.336360564531,3.48681361736081,1.20963652693163,0.923859333156446,1.97064693172558,-6.11918640771921,1.66,20.6139738864907,-0.221848749616356,5.171156949,0.764380199711754,0.623203238679162,0.269951350521256,0.203752609182255,2.71463253613381e-06,0.39541563113198,4.2629100346093,1
"180325A",2.248,1.97358962342726,-10.7837875026657,3.75219624032856,1.42522451873374,0.930163512524357,1.98532000640701,-5.18708664335714,1.18,22.1431959788594,0.973127853599699,5.171156949,0.812245962412652,0.600863285955832,0.283581660015697,0.211017473918601,2.09854291011662e-06,0.351123819544268,2.49630364037884,1
"181201A",0.45,1.28330122870355,-10.3393308594863,4.07213208802757,1.30637263791841,0.880600729829293,1.96944551286205,NA,NA,NA,NA,5.171156949,0.790195011305888,0.593146075195411,0.282124910737301,0.204768947327362,6.08875479300756e-06,0.309247345671209,7.12447034195703,1
"200613A",1.2255,2.58092497567562,-10.800895630958,4.2748501791616,1.17249219086114,0.921245242046176,2.03892480281455,NA,NA,NA,NA,5.171156949,0.796061372728431,0.635956958001147,0.284198757018858,0.201447598680721,3.76730893591298e-06,0.340816562003726,2.9833405967547,1
"201015A",0.426,0.990338854787601,-10.8744534301265,3.86290782658855,0.97710747153225,0.931358189666251,2.05288387817727,-6.69897000433602,3.03,21.3553614717945,0.255272505103306,5.171156949,0.782303351908868,0.594100997396298,0.281264883908167,0.20598682969823,1.65192865307899e-06,0.38132694010031,2.00409456917207,1
"201020A",2.903,1.15136985024746,-10.4939558343666,3.74523813589335,1.0801678478918,0.928397219905648,2.01341914754817,-6.03621217265444,2.25,20.9325848608536,0.322219294733919,5.171156949,0.836007515371256,0.58473935372231,0.271068695646534,0.204181258398446,2.44094314039124e-06,0.394129847050153,3.24400272723438,1
"201021C",1.07,1.38703370128236,-10.1703163878534,3.39860279969865,1.23328174600482,0.892993537035123,1.94753525556824,-6,1.63,20.7519954068474,0,5.171156949,0.800870781276215,0.625636889312602,0.283176699822987,0.198882689246876,3.63092672216528e-06,0.366108751005032,5.44092222144786,1
"020124A",3.198,1.66190729276602,-10.8083317784885,3.94319258244172,1.66736924582972,0.94988322427092,1.98829476795623,NA,NA,NA,NA,5.171156949,0.827047190487285,0.592048087087502,0.274868399287968,0.205480516542842,2.79572552448541e-06,0.333316552553453,2.35066401354569,1
"021004A",2.34,2,-10.856477514141,4.32702575418751,1.3506804889308,0.896534889857964,2.01576557658271,NA,NA,NA,NA,5.171156949,0.773255876815631,0.621071583214842,0.272050608772837,0.204755347330682,3.31693895642925e-06,0.341350693751726,2.36538354680999,1
"210204A",0.876,2.30102999566398,-10.5010192525423,3.99163391245165,1.25751522589486,0.903338857950866,1.99575985549209,NA,NA,NA,NA,5.171156949,0.774439121700677,0.622892435985763,0.265486834299161,0.20016320343651,4.16746545535707e-06,0.326525793138785,4.60863280467473,1
"030226A",1.99,1.34419571587143,-10.9084487632826,4.14553232498341,1.74785148911539,0.881417829667745,1.99712835458822,NA,NA,NA,NA,5.171156949,0.796726187310422,0.57640877385438,0.286535165213746,0.203072034957873,2.54887595298537e-06,0.335337194714542,1.76882427914477,1
"050502B",3.793,1.24303804868629,-10.7626910741881,3.63036368965925,1.37475540759348,0.917993764257099,1.98523544804495,NA,NA,NA,NA,5.171156949,0.783015873026614,0.577971324520002,0.285255518020958,0.210846063042181,1.78696874174095e-06,0.37202597067973,2.44608561990022,1
"050502A",3.79,1.30102999566398,-10.7362101463867,3.70981794510099,1.41991981222155,0.911423283849173,1.97708096154661,NA,NA,NA,NA,5.171156949,0.770241993309833,0.606444429320719,0.270902966661056,0.196238337183941,2.07705442012382e-06,0.356368564258471,2.6130629542649,1
"050525A",0.61,0.945960703577569,-10.3844677348636,3.5661995948462,1.24726817349991,0.887527848075075,1.96646442981349,-4.8153085691824,1,21.2788015992694,1.62013605497376,5.171156949,0.787492769458897,0.60042962486481,0.272766923922609,0.196065926987861,2.91391874240747e-06,0.381328290979584,4.36746964563195,1
"050603A",2.82,1.32221929473392,-10.4820759778086,3.95572119646738,1.63424587879425,0.90833347764695,1.96680892309155,-5.19654288435159,1.16,21.630055462984,1.33243845991561,5.171156949,0.781305482286903,0.578619876650054,0.289815312423011,0.201801983276413,5.5016850301387e-06,0.294699868877467,4.16930684686556,1
"050801A",1.56,1.28780172993023,-10.121843348776,3.35698976137229,1.31019462141209,0.91781272340908,1.94502848095143,-6.50863830616573,1.99,20.8020901716802,0.164352855784437,5.171156949,0.769065603510117,0.613550566909707,0.275011453778411,0.20181650093352,4.09365125387143e-06,0.347292857939853,5.41971395905127,1
